Record Number,Common Name,Code,Scientific (Latin) Name,Locality,Observation Date,Observer,Breeding Evidence,Nest Structure or Substrate,Nest Height (meters),Observation Details,Comments,Latitude,Longitude,Location Certainty (meters),Elevation (meters),Photo Link,Sources,x,y
893,Hutton's Vireo,HUVI,Vireo huttoni,"N VAFB, San Antonio Ck, Barka Slough",5 Jun 2005,Dave Compton,Juvenile Independent,,,Independent juvenile, South side,34.76606,-120.46701,10,87,,"MSE field notes, Vandenberg 2005",-13410326.210588194,4132134.9034523345
894,Red-tailed Hawk,RTHA,Buteo jamaicensis,"N VAFB, San Antonio Ck, Barka Slough",5 Jun 2005,Dave Compton,Fledgling out of Nest--Brancher,,,"Two fledglings, at least one of which is still growing in outer retrices, sitting near each other in dead trees.",S side,34.7663165,-120.4628004,50,86,,"MSE field notes, Vandenberg 2005",-13409857.600059753,4132169.661749226
895,Red-winged Blackbird,RWBL,Agelaius phoeniceus,"N VAFB, San Antonio Ck, Barka Slough",5 Jun 2005,Dave Compton,Juvenile Independent,,,Unattended juvenile.,S side,34.7674482,-120.4725647,20,83,,"MSE field notes, Vandenberg 2005",-13410944.556963705,4132323.0196259464
896,Song Sparrow,SOSP,Melospiza melodia,"N VAFB, San Antonio Ck, Barka Slough",5 Jun 2005,Dave Compton,Fledgling Begging,,,Begging juvenile following adult,S side,34.77195,-120.4783822,20,84,,"MSE field notes, Vandenberg 2005",-13411592.158101395,4132933.0841762233
897,House Wren,HOWR,Troglodytes aedon,"N VAFB, Shuman Ck, nr base boundary",6 Jun 2005,Dave Compton,Fledgling under Parental Care,,,"Adult accompanying 2 juveniles (tails 1/2 to 2/3 grown in, one with yellow at the base of the bill)",,34.82962,-120.55211,20,63,,"MSE field notes, Vandenberg 2005",-13419799.499254704,4140751.2207926237
898,White-crowned Sparrow,WCSP,Zonotrichia leucophrys,"N VAFB, Shuman Ck, Upper",6 Jun 2005,Dave Compton,Juvenile Independent,,,Unattended juvenile.,,34.8352885,-120.5624188,20,50,,"MSE field notes, Vandenberg 2005",-13420947.069621393,4141519.976513215
899,Lazuli Bunting,LAZB,Passerina amoena,Gaviota State Beach,6 Jul 2005,Dave Compton,Fledgling Begging,,,Begging juvenile following an adult female,,34.476685,-120.2287579,50,9,,Compton field notes,-13383804.108135767,4092990.188763834
900,California Scrub-Jay,CASJ,Aphelocoma californica,"Santa Ynez River, Lompoc Federal Penitentiary",7 Jun 2005,Dave Compton,Fledgling Begging,,,2 begging juveniles with an adult,nr Pt 114 on VAFB Point Count route.,34.67598,-120.51184,5,19,,"MSE field notes, Vandenberg 2005",-13415316.663360458,4119934.8388407934
901,Gadwall,GADW,Mareca strepera,"Goleta, COPR, Devereux Slough",9 Jun 2005,Dave Compton,Fledgling under Parental Care,,,Adult female with 2 ducklings 2-3 weeks old,,34.4132639,-119.8760645,0,2,,Compton field notes,-13344542.458441619,4084429.179864708
902,Hooded Oriole,HOOR,Icterus cucullatus,"Goleta, COPR, Slough Rd",9 Jun 2005,Dave Compton,Feeding Fledgling,,,Adult male feeding juvenile with tail 2/3 full length,,34.4113911,-119.8771206,50,8,,Compton field notes,-13344660.022955844,4084176.475400034
903,Mourning Dove,MODO,Zenaida macroura,"S VAFB, Honda Ck",9 Jun 2005,Dave Compton,Egg in Nest,willow,1.6,Adult on nest with 1 egg,Lower Honda,34.6027297,-120.5997332,5,70,,"MSE field notes, Vandenberg 2005",-13425100.88962865,4110023.899366936
904,White-crowned Sparrow,WCSP,Zonotrichia leucophrys,"S VAFB, Bear Ck",9 Jun 2005,Dave Compton,Family Group in Close Association,,,Two separate groups of heavily streaked juveniles traveling in tight groups (one group of two and another group of four),nr Surf Rd.,34.6510564,-120.6032058,50,34,,"MSE field notes, Vandenberg 2005",-13425487.457692375,4116561.633877033
905,White-crowned Sparrow,WCSP,Zonotrichia leucophrys,"S VAFB, Honda Ck",9 Jun 2005,Dave Compton,Juvenile Independent,,,Independent juvenile.,Lower Honda,34.604345,-120.6158996,5,50,,"MSE field notes, Vandenberg 2005",-13426900.52504461,4110242.3589556664
906,Wilson's Warbler,WIWA,Cardellina pusilla,"S VAFB, Bear Ck",9 Jun 2005,Dave Compton,Fledgling Begging,,,"Begging fledgling (whitish belly, some downy feathers still on head) following adult",nr Surf Rd.,34.6515673,-120.6035184,30,34,,"MSE field notes, Vandenberg 2005",-13425522.2561652,4116630.76981991
907,American Coot,AMCO,Fulica americana,"VAFB, nr entrance to Ocean Park",10 Jun 2005,Dave Compton,Fledgling under Parental Care,,,Adult with 2 young 1 week old or less,,34.6852228,-120.5862653,30,4,,"MSE field notes, Vandenberg 2005",-13423601.649858592,4121186.0340610147
908,Mallard,MALL,Anas platyrhynchos,"N VAFB, Wildlife Management Ponds",10 Jun 2005,Dave Compton,Fledgling under Parental Care,,,Adult female with 2 chicks less than 7 days old,,34.6777262,-120.5638174,10,7,,"MSE field notes, Vandenberg 2005",-13421102.761061216,4120171.2107409444
909,Yellow Warbler,YEWA,Setophaga petechia,"VAFB, Santa Ynez River nr Waterfowl Natural Resources Area",10 Jun 2005,Dave Compton,Feeding Fledgling,,,"Adult feeding begging fledgling, still with whitish undertail coverts, gray head",,34.679146,-120.5699088,10,5,,"MSE field notes, Vandenberg 2005",-13421780.852607435,4120363.403639174
910,Lesser Goldfinch,LEGO,Spinus psaltria,"N VAFB, Shuman Ck, Lower",11 Jun 2005,Dave Compton,Nest Building,willow,6,Female building nest,,34.840599,-120.5745092,20,36,,"MSE field notes, Vandenberg 2005",-13422292.966792878,4142240.228691012
911,Mourning Dove,MODO,Zenaida macroura,"N VAFB, Shuman Ck, Lower",11 Jun 2005,Dave Compton,Nestling in Nest,Coyote Brush,1.8,"Adult flushed from nest with 1 newly hatched young lying flat, next to egg shell",,34.8411005,-120.5880521,20,25,,"MSE field notes, Vandenberg 2005",-13423800.555524744,4142308.2485043346
912,Yellow Warbler,YEWA,Setophaga petechia,"N VAFB, Shuman Ck, Lower",11 Jun 2005,Dave Compton,Fledgling Begging,,,Begging juvenile following adult,,34.84154,-120.5799048,20,35,,"MSE field notes, Vandenberg 2005",-13422893.602237402,4142367.8594292323
913,Clark's Grebe,CLGR,Aechmophorus clarkii,"Cachuma Lake, east end",12 Jun 2005,Dave Compton,Fledgling under Parental Care,,,Adult with 4 young less than 2 weeks old,,34.55164,-119.89383,600,227,,Compton field notes,-13346520.104855306,4103116.51614246
914,Clark's Grebe,CLGR,Aechmophorus clarkii,"Cachuma Lake, east end",12 Jun 2005,Dave Compton,Fledgling under Parental Care,,,Adult with 2 young less then 2 weeks old,,34.5516,-119.8938304,600,227,,Compton field notes,-13346520.149383102,4103111.1097612972
915,Western Grebe,WEGR,Aechmophorus occidentalis,"Cachuma Lake, east end",12 Jun 2005,Dave Compton,Fledgling under Parental Care,,,Adult with 5 young less than 2 weeks old,,34.55168,-119.89383,600,227,,Compton field notes,-13346520.104855306,4103121.922526222
916,Western Grebe,WEGR,Aechmophorus occidentalis,"Cachuma Lake, east end",12 Jun 2005,Dave Compton,Fledgling under Parental Care,,,Adult with 4 young less than 3 weeks old,,34.55172,-119.89383,600,227,,Compton field notes,-13346520.104855306,4103127.328912583
917,Western Grebe,WEGR,Aechmophorus occidentalis,"Cachuma Lake, east end",12 Jun 2005,Dave Compton,Fledgling under Parental Care,,,Adult with 3 young less than 2 weeks old,,34.55176,-119.89383,600,227,,Compton field notes,-13346520.104855306,4103132.7353015435
918,Western Grebe,WEGR,Aechmophorus occidentalis,"Cachuma Lake, east end",12 Jun 2005,Dave Compton,Fledgling under Parental Care,,,Adult with 2 young less than 2 weeks old,,34.5518,-119.89383,600,227,,Compton field notes,-13346520.104855306,4103138.141693103
919,Cooper's Hawk,COHA,Accipiter cooperii,"N VAFB, San Antonio Ck, Barka Slough",13 Jun 2005,Dave Compton,Fledgling Begging,,,juvenile calling (heard only),N side,34.7740954,-120.4662221,20,82,,"MSE field notes, Vandenberg 2005",-13410238.5019614,4133223.8312547095
920,Western Flycatcher,WEFL,Empidonax difficilis,"N VAFB, San Antonio Ck, Barka Slough North",13 Jun 2005,Dave Compton,Nestling in Nest,,,"Early fledged young on ground near empty nest (tail is only beginning to grow, wings are poorly developed, can barely fly); agitated adult nearby",,34.7702724,-120.4528035,50,91,,"MSE field notes, Vandenberg 2005",-13408744.750242239,4132705.7391584995
921,Spotted Towhee,SPTO,Pipilo maculatus,"N VAFB, San Antonio Ck, Barka Slough North",13 Jun 2005,Dave Compton,Fledgling under Parental Care,,,Fledgling with 2 agitated adults nearby,,34.7719257,-120.4572865,50,87,,"MSE field notes, Vandenberg 2005",-13409243.795519467,4132929.791055533
922,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Ck, Barka Slough North",13 Jun 2005,Dave Compton,Feeding Fledgling,,,"2 fledglings (olive caps, olive breast markings) begging, moving about in riparian but not following adults, which approaches them for feeding",,34.77384,-120.4645683,50,81,,"MSE field notes, Vandenberg 2005",-13410054.401787525,4133189.218756237
923,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Ck, Barka Slough North",13 Jun 2005,Dave Compton,Juvenile Independent,,,"Juvenile in adult-like plumage but with only the beginnings of a black cap, independent and feeding self",,34.7738716,-120.4645683,50,81,,"MSE field notes, Vandenberg 2005",-13410054.401787525,4133193.5012678606
924,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Ck, Barka Slough North",13 Jun 2005,Dave Compton,Fledgling Begging,,,Begging fledgling (no black on cap) being fed by adult,,34.7701027,-120.4537373,50,90,,"MSE field notes, Vandenberg 2005",-13408848.700382743,4132682.7420091676
925,Yellow Warbler,YEWA,Setophaga petechia,"N VAFB, San Antonio Ck, Barka Slough North",13 Jun 2005,Dave Compton,Fledgling Begging,,,"Fledgling (whitish undertail coverts, gray mantle and sides) begging and following adult",,34.7699967,-120.4534129,50,90,,"MSE field notes, Vandenberg 2005",-13408812.58833993,4132668.377284611
926,American Coot,AMCO,Fulica americana,"N VAFB, San Antonio Ck x El Rancho Rd",14 Jun 2005,Dave Compton,Fledgling with Presumed Parent,,,"Two chicks (gray bodies, white throats and breast, pale pink bills) with adult present.",,34.7734522,-120.5726302,5,15,,"MSE field notes, Vandenberg 2005",-13422083.797469681,4133136.66325665
927,Bewick's Wren,BEWR,Thryomanes bewickii,"N VAFB, San Antonio Ck nr El Rancho Lateral Rd",14 Jun 2005,Dave Compton,Fledgling under Parental Care,,,Juvenile (tail 3/4 full length) in company of adult,,34.7770424,-120.562823,100,19,,"MSE field notes, Vandenberg 2005",-13420992.06495957,4133623.2244120864
928,Song Sparrow,SOSP,Melospiza melodia,"N VAFB, San Antonio Ck x El Rancho Rd",14 Jun 2005,Dave Compton,Fledgling Begging,,,Begging juvenile under parental care,,34.7718656,-120.5735398,50,25,,"MSE field notes, Vandenberg 2005",-13422185.053678505,4132921.6463455646
929,Yellow Warbler,YEWA,Setophaga petechia,"N VAFB, San Antonio Ck x El Rancho Rd",14 Jun 2005,Dave Compton,Feeding Fledgling,,,Female feeding fledgling,,34.7728367,-120.573413,20,20,,"MSE field notes, Vandenberg 2005",-13422170.938367072,4133053.2498648264
930,Brown-headed Cowbird,BHCO,Molothrus ater,"Ellwood, Haskell's Beach",15 Jun 2005,Dave Compton,Host - Brood Parasite Interaction,,,"Fledgling (begging from fixed location on ground, yellow at the base of the bill, wings not completely grown in) being fed by adult Song Sparrow","On 18 June 2005, Compton reports: Adult Song Sparrow feeding fledgling Song Sparrow and fledgling cowbird (following host some). See also Song Sparrow record 932.",34.4311697,-119.9154724,30,12,,"Compton field notes, Bird Island project for SBAS",-13348929.32580285,4086845.5675070058
931,Brandt's Cormorant,BRAC,Phalacrocorax penicillatus,"Ellwood, pier remnant off Haskell's Beach",15 Jun 2005,Dave Compton,Adult at Nest (clarify),,,"1 adult is still incubating or brooding on the last nest where young have not been recorded, out of about 35 nests visible on the structure.",See entries for this location and year for 19 February and 22 May.,34.423785,-119.91056,25,10,,Compton field notes,-13348382.479936277,4085848.939565811
932,Song Sparrow,SOSP,Melospiza melodia,"Ellwood, Haskell's Beach",15 Jun 2005,Dave Compton,Fledgling Begging,,,Adult feeding begging Brown-headed Cowbird fledgling (waiting from fixed location to be fed; yellow at base of bill; wings are not completely developed),See BHCO rec 930.,34.4311697,-119.9154724,30,12,,"Compton field notes, Bird Island project for SBAS",-13348929.32580285,4086845.5675070058
933,Song Sparrow,SOSP,Melospiza melodia,"VAFB, Santa Ynez River upstream of 13th St",15 Jun 2005,Dave Compton,Family Group in Close Association,,,"Family group of four birds, with one juvenile and one adult seen well",,34.6808867,-120.5447689,100,10,,"MSE field notes, Vandenberg 2005",-13418982.291740838,4120599.040040218
934,Bewick's Wren,BEWR,Thryomanes bewickii,"N VAFB, San Antonio Ck E of El Rancho Rd",17 Jun 2005,Dave Compton,Juvenile Independent,,,Juvenile feeding self,,34.7743956,-120.5621033,30,18,,"MSE field notes, Vandenberg 2005",-13420911.948322047,4133264.5153072644
935,Black Phoebe,BLPH,Sayornis nigricans,"N VAFB, San Antonio Ck",17 Jun 2005,Dave Compton,Nestling in Nest,,,"Adult making repeated trips to underside of bridge, where begging sounds (not Brown-headed Cowbird) are heard.", at El Rancho Rd,34.773272,-120.5726355,20,16,,"MSE field notes, Vandenberg 2005",-13422084.387462981,4133112.242244706
936,Chestnut-backed Chickadee,CBCH,Poecile rufescens,"N VAFB, San Antonio Ck E of El Rancho Rd",17 Jun 2005,Dave Compton,Fledgling Begging,,,"Family group of 2 adults, 2 begging fledglings (2/3 length tails, yellow at base of bill)",,34.77405,-120.5702208,20,16,,"MSE field notes, Vandenberg 2005",-13421815.58428856,4133217.6785161416
937,Cooper's Hawk,COHA,Accipiter cooperii,"N VAFB, San Antonio Ck W of El Rancho Rd",17 Jun 2005,Dave Compton,Carrying Food,,,"Adult carrying prey item 200m+, into riparian; juvenile subsequently heard calling from direction adult flew.",,34.7808058,-120.5801942,50,18,,"MSE field notes, Vandenberg 2005",-13422925.81809804,4134133.28119286
938,Eurasian Collared-Dove,EUCD,Streptopelia decaocto,"Goleta, Robin Hill Rd nr Hollister Ave",17 Jun 2005,"Duncan, M. ",Fledgling out of Nest--Brancher,,,2 fledglings sitting together in tree near nest structure,With David Kisner,34.4337522,-119.8441396,100,4,,,-13340988.594829995,4087194.118581258
939,Yellow Warbler,YEWA,Setophaga petechia,"N VAFB, San Antonio Ck W of El Rancho Rd",17 Jun 2005,Dave Compton,Fledgling Begging,,,Female followed by overall very gray begging fledgling,,34.7823289,-120.5860718,30,18,,"MSE field notes, Vandenberg 2005",-13423580.109537125,4134339.714836316
940,American Goldfinch,AMGO,Spinus tristis,"N VAFB, Wildlife Management Ponds",18 Jun 2005,Dave Compton,Feeding Fledgling,,,"Adult male delivering food to 2 well-developed fledglings, both flying well, but waiting in willows for adult",,34.683233,-120.5646491,30,7,,"MSE field notes, Vandenberg 2005",-13421195.345481707,4120916.6636009617
943,Yellow Warbler,YEWA,Setophaga petechia,"N VAFB, Wildlife Management Ponds",18 Jun 2005,Dave Compton,Fledgling Begging,,,"Begging fledgling (gray head, whitish belly) following adult",nr Terra Rd,34.6863665,-120.5590568,20,12,,"MSE field notes, Vandenberg 2005",-13420572.813493345,4121340.8661171375
944,Cooper's Hawk,COHA,Accipiter cooperii,"Goleta, Lake Los Carneros Natural and Historical Preserve",20 Jun 2005,Larry Ballard,Nestling in Nest,,,"Four branching young near nest, being fed by an adult. On 26 June 2005, R. Millikan reported: ""Adult with 3 juveniles about 10 days since fledgling (per K Braunger, D. Compton present). 2 juveniles seen, one with three dark bands visible on inner rectrices and the beginnings of a fourth band showing through the undertail coverts, the other with the third dark bar just visible on the inner rectrices. The third juveniles was heard calling from a nearby tree.""",,34.4433533,-119.850678,50,20,,,-13341716.446188597,4088490.040239654
945,Song Sparrow,SOSP,Melospiza melodia,"N VAFB, Lompoc-Casmalia Rd",20 Jun 2005,Dave Compton,Fledgling with Presumed Parent,,,2 juveniles accompanied by 1 adult,S of San Antonio Creek,34.7690895,-120.5501659,20,42,,"MSE field notes, Vandenberg 2005",-13419583.083032653,4132545.4376796503
946,Spotted Towhee,SPTO,Pipilo maculatus,"N VAFB, Lompoc-Casmalia Rd",20 Jun 2005,Dave Compton,Feeding Fledgling,,,Adult bringing food item to fledgling. Adult is cautious. Feeding not witnessed.,S of San Antonio Creek,34.770409,-120.5543657,20,37,,"MSE field notes, Vandenberg 2005",-13420050.602630084,4132724.2507461724
947,Black-headed Grosbeak,BHGR,Pheucticus melanocephalus,"VAFB, Santa Ynez River nr De Wolff",21 Jun 2005,Dave Compton,Fledgling with Presumed Parent,,,Juvenile heard calling. Adult nearby.,,34.6808831,-120.5152496,30,21,,"MSE field notes, Vandenberg 2005",-13415696.218296267,4120598.552707569
948,Tree Swallow,TRES,Tachycineta bicolor,"Goleta, Lake Los Carneros Natural and Historical Preserve",22 Jun 2005,Joan Lentz,Delivering Food to Nest or Cavity,Monterey Pine,3.5,Pair feeding 2 young in nest hole,,34.4394116,-119.8500109,70,12,,,-13341642.184956286,4087957.9858509456
949,American Coot,AMCO,Fulica americana,"VAFB, nr entrance to Ocean Park",25 Jun 2005,Dave Compton,Fledgling with Presumed Parent,,,"2 juveniles, possibly the ones recorded on 10 June here, with white throats and breasts and pale pink bills",See 10 June entry for this location,34.68522,-120.58631,30,4,,"MSE field notes, Vandenberg 2005",-13423606.625839831,4121185.6550046573
950,American Goldfinch,AMGO,Spinus tristis,"N VAFB, Wildlife Management Ponds",25 Jun 2005,Dave Compton,Feeding Fledgling,,,Adult female feeding 2 begging fledglings,,34.686742,-120.5855881,20,3,,"MSE field notes, Vandenberg 2005",-13423526.264299428,4121391.7011005376
951,Mallard,MALL,Anas platyrhynchos,"VAFB, nr entrance to Ocean Park",25 Jun 2005,Dave Compton,Fledgling under Parental Care,,,Female with 3 chicks <7 days old,,34.68518,-120.58627,30,4,,"MSE field notes, Vandenberg 2005",-13423602.1730602,4121180.2399152447
952,Mallard,MALL,Anas platyrhynchos,"N VAFB, Wildlife Management Ponds",25 Jun 2005,Dave Compton,Fledgling under Parental Care,,,Adult female with 4 chicks 1-2 weeks old,,34.6799792,-120.5682911,30,7,,"MSE field notes, Vandenberg 2005",-13421600.771067176,4120476.192272211
953,Pied-billed Grebe,PBGR,Podilymbus podiceps,"VAFB, nr entrance to Ocean Park",25 Jun 2005,Dave Compton,Fledgling Begging,,,"3 juveniles making begging sounds, with striped heads, but probably >1 week old",,34.68514,-120.58623,30,4,,"MSE field notes, Vandenberg 2005",-13423597.72028057,4121174.8248284487
954,Song Sparrow,SOSP,Melospiza melodia,"VAFB, Santa Ynez River downstream of 13th St",25 Jun 2005,Dave Compton,Family Group in Close Association,,,"Family group of 1 adult and 4+ juveniles, feeding selves",,34.6782412,-120.5616198,30,7,,"MSE field notes, Vandenberg 2005",-13420858.12534825,4120240.923941302
955,Song Sparrow,SOSP,Melospiza melodia,"VAFB, Santa Ynez River downstream of 13th St",25 Jun 2005,Dave Compton,Fledgling Begging,,,Begging juvenile with adult,,34.6757546,-120.556302,75,7,,"MSE field notes, Vandenberg 2005",-13420266.150560109,4119904.3282508748
956,Spotted Sandpiper,SPSA,Actitis macularius,"VAFB, Santa Ynez River downstream of 13th St",25 Jun 2005,Dave Compton,Fledgling under Parental Care,,,"Pair with 2 downy chicks standing 3 inches high, from ground to crown. On 5 July 2005, Comptons saw a chick with an adult nearby. On 14 July, Compton saw a family group including at least 2 fledglings.",,34.6766899,-120.5561872,10,6,,"MSE field notes, Vandenberg 2005",-13420253.371082563,4120030.9328518263
957,Swainson's Thrush,SWTH,Catharus ustulatus,"N VAFB, Santa Ynez River",25 Jun 2005,Dave Compton,Fledgling under Parental Care,,,"Juvenile (downy gray on crown, pale reddish pin feathers on mantle), with another SWTH calling in the willows",downstream of Wildlife Management Area,34.6787438,-120.5700842,5,6,,"MSE field notes, Vandenberg 2005",-13421800.37804612,4120308.9590282394
958,American Coot,AMCO,Fulica americana,"Goleta, Lake Los Carneros Natural and Historical Preserve",26 Jun 2005,Roger Millikan,Fledgling with Presumed Parent,,,"All gray juvenile, nearly fully grown.","With Braunger, K.; Dave Compton",34.444047,-119.8503099,50,15,,Compton field notes,-13341675.469484035,4088583.679118459
960,Yellow Warbler,YEWA,Setophaga petechia,"Goleta, Lake Los Carneros Natural and Historical Preserve",26 Jun 2005,Dave Compton,Fledgling Begging,,,"Pair accompanied by begging fledgling (gray head, pale on sides)",,34.4431333,-119.8523788,50,22,,Compton field notes,-13341905.778378535,4088460.3437704546
961,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, Wildlife Management Ponds",27 Jun 2005,Dave Compton,Fledgling Begging,,,2 begging fledglings following and adult closely.,,34.686053,-120.5632132,10,9,,"MSE field notes, Vandenberg 2005",-13421035.50182488,4121298.424836231
962,Mourning Dove,MODO,Zenaida macroura,"VAFB, Santa Ynez River nr De Wolff",28 Jun 2005,Dave Compton,Egg in Nest,willow,3,"Nest with 2 eggs, above river channel",,34.6802716,-120.5210735,10,11,,"MSE field notes, Vandenberg 2005",-13416344.531878697,4120515.774149845
963,American Coot,AMCO,Fulica americana,"Goleta Slough, Area E/F",29 Jun 2005,Dave Compton,Fledgling with Presumed Parent,,,"7 pale gray chicks, nearly adult size and with flight feathers mostly grown in.",,34.4255101,-119.849691,0,1,,"Compton field notes, airport project for URS",-13341606.573851181,4086081.7485711086
964,Black-necked Stilt,BNST,Himantopus mexicanus,"Goleta Slough, Area L/M",29 Jun 2005,Dave Compton,Fledgling under Parental Care,,,"1 approximately one-week-old chick, not recorded previously",,34.4241,-119.8501921,0,1,,"Compton field notes, airport project for URS",-13341662.356048018,4085891.449691721
965,Gadwall,GADW,Mareca strepera,"Goleta Slough, Area A",29 Jun 2005,Dave Compton,Fledgling under Parental Care,,,Female with 4 chicks approximately  1 week old,,34.4220413,-119.8511613,150,1,,"Compton field notes, airport project for URS",-13341770.246898497,4085613.6252993713
966,Purple Martin,PUMA,Progne subis,Nojoqui Falls County Park,29 Jun 2005,Jim Greaves,Nestling in Nest,Western Sycamore,6,2 nestlings looking out of nest hole,Same tree as 2 other sightings from this date and location. Fledglings also present.,34.53398,-120.1760221,50,219,,,-13377933.58573319,4100729.851519161
967,Purple Martin,PUMA,Progne subis,Nojoqui Falls County Park,29 Jun 2005,Jim Greaves,Nestling in Nest,Western Sycamore,6,2 nestlings looking out of nest hole,Same tree as 2 other sightings from this date and location. Fledglings also present.,34.53402,-120.1760221,50,219,,,-13377933.58573319,4100735.2567559364
968,Purple Martin,PUMA,Progne subis,Nojoqui Falls County Park,29 Jun 2005,Jim Greaves,Nestling in Nest,Western Sycamore,6,3 nestlings looking out of nest hole,Same tree as 2 other sightings from this date and location. Fledglings also present.,34.53406,-120.1760221,50,219,,,-13377933.58573319,4100740.6619953075
969,Blue Grosbeak,BLGR,Passerina caerulea,"Carpinteria, W of City Hall",30 Jun 2005,Peter Gaede,Carrying Food,,,"Pair, with female carrying food.  On 26 July 2005, Pair with 3 fledglings; female feeding young.",,34.3864609,-119.5041657,120,19,,,-13303142.873398991,4080813.0816378267
970,House Finch,HOFI,Haemorhous mexicanus,"Santa Barbara, 1114 Garden St.",30 Jun 2005,Dave Compton,Fledgling Begging,,,"3 begging fledglings, with some downy feathers still on the heads of 2, following adult male.",,34.42605,-119.6997064,20,21,,Compton field notes,-13324910.36455235,4086154.611178901
971,Yellow Warbler,YEWA,Setophaga petechia,"N VAFB, San Antonio Ck",1 Jul 2005,Dave Compton,Juvenile Independent,,,Juvenile feeding self, E of Richmond Rd,34.7802335,-120.5186644,12,46,,"MSE field notes, Vandenberg 2005",-13416076.352093428,4134055.7153903833
972,American Coot,AMCO,Fulica americana,"N VAFB, San Antonio Ck",2 Jul 2005,Dave Compton,Feeding Fledgling,,,"3 chicks (still begging, under parental care--feeding witnessed--and with yellowish plumes on head) with 2 adults",at El Rancho Rd,34.7712211,-120.5737662,15,20,,"MSE field notes, Vandenberg 2005",-13422210.25641122,4132834.304529164
973,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Ck",2 Jul 2005,Dave Compton,Fledgling Begging,,,Begging fledgling (pale belly and no black on crown) with 2 adults, at El Rancho Rd,34.7750549,-120.5720807,40,17,,"MSE field notes, Vandenberg 2005",-13422022.627409488,4133353.866245966
974,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Ck nr El Rancho Lateral Rd",2 Jul 2005,Dave Compton,Fledgling under Parental Care,,,"Fledgling, possibly independent, despite plumage of fairly recent fledgling (pale gray undertail coverts, olive smudges on breast, olive crown)",,34.7772645,-120.5653622,20,19,,"MSE field notes, Vandenberg 2005",-13421274.727410594,4133653.325166672
975,American Goldfinch,AMGO,Spinus tristis,"N VAFB, Wildlife Management Ponds",4 Jul 2005,Dave Compton,Fledgling out of Nest--Brancher,,,"Prematurely fledged young, tail no more than one quarter inch long, mostly stationary in B. pilularis, having difficulty flying.",,34.6822977,-120.5647638,20,8,,"MSE field notes, Vandenberg 2005",-13421208.113827301,4120790.048996024
976,Greater Roadrunner,GRRO,Geococcyx californianus,"Santa Barbara, Riviera",4 Jul 2005,Ron Hirst,Feeding Fledgling,,,2 adults with 1 juveniles; feeding witnessed,Mission Ridge x E. Las Tunas,34.4405528,-119.6989189,30,188,,,-13324822.700453348,4088112.0235231174
977,Spotted Towhee,SPTO,Pipilo maculatus,"N VAFB, Wildlife Management Ponds",4 Jul 2005,Dave Compton,Fledgling Begging,,,"Fledgling following adult, giving begging call",,34.686138,-120.5580049,60,14,,"MSE field notes, Vandenberg 2005",-13420455.71652098,4121309.9320257013
978,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, Wildlife Management Ponds",4 Jul 2005,Dave Compton,Feeding Fledgling,,,"Adult feeding mobile, begging fledgling.",,34.6826668,-120.5651895,20,7,,"MSE field notes, Vandenberg 2005",-13421255.502534533,4120840.01509342
979,Brown-headed Cowbird,BHCO,Molothrus ater,"VAFB, nr entrance to Ocean Park",5 Jul 2005,Dave Compton,Host - Brood Parasite Interaction,,,"Fledgling attended by adult male Common Yellowthroat, begging constantly",See also COYE entry for same date and location (record 982),34.68593,-120.5877506,5,7,,"MSE field notes, Vandenberg 2005",-13423766.992698269,4121281.7732770946
980,Black Phoebe,BLPH,Sayornis nigricans,"VAFB, Santa Ynez River nr Waterfowl Natural Resources Area",5 Jul 2005,Dave Compton,Fledgling with Presumed Parent,,,"Juvenile accompanied by adult (side by side on brach), but no begging or feeding witnessed",,34.6771098,-120.5604962,30,6,,"MSE field notes, Vandenberg 2005",-13420733.046768393,4120087.772055179
982,Common Yellowthroat,COYE,Geothlypis trichas,"VAFB, nr entrance to Ocean Park",5 Jul 2005,Dave Compton,Fledgling Begging,,,Adult male attending begging Brown-headed Cowbird fledgling,See also BHCO entry for same date and location (record 979),34.68595,-120.5877506,5,7,,"MSE field notes, Vandenberg 2005",-13423766.992698269,4121284.4808460027
983,Purple Finch,PUFI,Haemorhous purpureus,"VAFB, Santa Ynez River nr Waterfowl Natural Resources Area",5 Jul 2005,Dave Compton,Juvenile Independent,,,Juvenile feeding self,,34.67963,-120.5688787,30,6,,"MSE field notes, Vandenberg 2005",-13421666.182399968,4120428.9216219983
984,Song Sparrow,SOSP,Melospiza melodia,"VAFB, Santa Ynez River downstream of 13th St",5 Jul 2005,Dave Compton,Feeding Fledgling,,,Adult feeding begging juvenile,,34.6762075,-120.5586567,10,7,,"MSE field notes, Vandenberg 2005",-13420528.274565078,4119965.633775068
